,Unnamed: 0,Name,Year,Age,Team,Position,Games,Games Started,Minutes Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percent,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percent,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percent,Effective Field Goal Percent,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percent,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
365,365,Al Horford,2018,31,BOS,C,72,72,31.6,5.1,10.5,0.489,1.3,3.1,0.429,3.8,7.3,0.514,0.5529999999999999,1.3,1.7,0.7829999999999999,1.4,5.9,4.7,0.6,1.1,1.8,1.9,12.9
381,381,Semi Ojeleye,2018,23,BOS,PF,73,0,15.8,0.9,2.6,0.34600000000000003,0.5,1.7,0.32,0.3,0.9,0.397,0.452,0.3,0.6,0.61,0.5,1.7,0.3,0.3,0.1,0.3,1.2,2.7
341,341,Kyrie Irving,2018,25,BOS,PG,60,60,32.2,8.9,18.1,0.491,2.8,6.8,0.408,6.1,11.3,0.541,0.568,3.9,4.4,0.889,0.6,3.2,5.1,1.1,0.3,2.3,2.0,24.4
1267,1267,Abdel Nader,2018,24,BOS,SF,48,1,10.9,1.0,3.1,0.336,0.5,1.4,0.354,0.6,1.8,0.321,0.413,0.5,0.8,0.59,0.3,1.2,0.5,0.3,0.2,0.7,0.9,3.0
383,383,Guerschon Yabusele,2018,22,BOS,PF,33,4,7.1,0.8,1.8,0.426,0.4,1.1,0.324,0.4,0.7,0.583,0.525,0.5,0.7,0.682,0.5,1.1,0.5,0.1,0.2,0.4,0.7,2.4
385,385,Daniel Theis,2018,25,BOS,C,63,3,14.9,2.0,3.7,0.541,0.3,0.9,0.31,1.7,2.8,0.617,0.579,1.0,1.3,0.753,1.4,2.9,0.9,0.5,0.8,0.9,2.5,5.3
394,394,Aron Baynes,2018,31,BOS,C,81,67,18.3,2.6,5.5,0.47100000000000003,0.0,0.3,0.14300000000000002,2.6,5.2,0.48700000000000004,0.474,0.7,1.0,0.7559999999999999,1.6,3.8,1.1,0.3,0.6,1.0,2.5,6.0
399,399,Marcus Smart,2018,23,BOS,SG,54,11,29.9,3.5,9.5,0.36700000000000005,1.4,4.6,0.301,2.1,4.9,0.429,0.44,1.8,2.5,0.7290000000000001,0.8,2.7,4.8,1.3,0.4,2.4,2.5,10.2
368,368,Jaylen Brown,2018,21,BOS,SG,70,70,30.7,5.3,11.5,0.465,1.7,4.4,0.395,3.6,7.1,0.507,0.54,2.1,3.3,0.644,0.9,4.0,1.6,1.0,0.4,1.8,2.6,14.5
349,349,Marcus Morris,2018,28,BOS,PF,54,21,26.8,4.9,11.3,0.429,1.6,4.3,0.368,3.3,7.0,0.467,0.499,2.3,2.9,0.805,0.8,4.6,1.3,0.6,0.2,1.2,1.9,13.6
1122,1122,Isaiah Thomas,2018,27,BOS,PG,76,76,33.8,9.0,19.4,0.46299999999999997,3.2,8.5,0.379,5.8,10.9,0.528,0.546,7.8,8.5,0.909,0.6,2.1,5.9,0.9,0.2,2.8,2.2,28.9
353,353,Terry Rozier,2018,23,BOS,PG,80,16,25.9,4.0,10.0,0.395,1.9,5.0,0.381,2.0,5.0,0.41,0.491,1.4,1.9,0.772,0.8,3.9,2.9,1.0,0.2,1.0,1.5,11.3
370,370,Jayson Tatum,2018,19,BOS,SF,80,80,30.5,5.0,10.4,0.475,1.3,3.0,0.434,3.7,7.4,0.49200000000000005,0.5379999999999999,2.7,3.2,0.826,0.6,4.4,1.6,1.0,0.7,1.4,2.1,13.9
379,379,Gordon Hayward,2018,27,BOS,SF,1,1,5.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
